Time,B,Elapsed_Time,TouchTag
30:49.0,102,3.158735,3
30:49.3,102.25,3.158735,4
30:49.5,102.5,3.160017,1
30:49.8,102.75,3.161298,3
30:50.0,103,3.153611,4
30:50.2,103.25,3.160017,1
30:50.5,103.5,3.158735,2
30:50.8,103.75,3.158735,3
30:51.0,104,3.156173,4
30:51.3,104.25,3.158735,1
30:51.5,104.5,3.157454,3
30:51.7,104.75,3.157454,4
30:52.0,105,3.15233,1
30:52.3,105.25,3.162579,2
30:52.5,105.5,3.154892,1
30:52.8,105.75,3.160017,3
30:53.0,106,3.156173,4
30:53.3,106.25,3.161298,1
30:53.5,106.5,3.161298,2
30:53.8,106.75,3.157454,3
30:54.0,107,3.158735,4
30:54.2,107.25,3.157454,1
30:54.5,107.5,3.160017,3
30:54.8,107.75,3.161298,4
30:55.0,108,3.160017,1
30:55.3,108.25,3.156173,4
30:55.5,108.5,3.161298,1
30:55.8,108.75,3.161298,3
30:56.0,109,3.156173,4
30:56.3,109.25,3.160017,1
30:56.5,109.5,3.16386,4
30:56.8,109.75,3.160017,1
30:57.0,110,3.161298,3
30:57.2,110.25,3.160017,4
30:57.5,110.5,3.156173,1
30:57.7,110.75,3.166422,3
30:58.0,111,3.158735,4
30:58.3,111.25,3.158735,1
30:58.5,111.5,3.158735,4
30:58.8,111.75,3.161298,1
30:59.0,112,3.161298,3
30:59.3,112.25,3.16386,4
30:59.5,112.5,3.160017,1
30:59.7,112.75,3.166422,3
31:00.0,113,3.165141,3
31:00.3,113.25,3.171546,3
31:00.5,113.5,3.166422,3
31:00.8,113.75,3.16386,3
31:01.0,114,3.168984,3
31:01.2,114.25,3.167703,3
31:01.5,114.5,3.170265,3
31:01.8,114.75,3.170265,3
31:02.0,115,3.16386,3
31:02.3,115.25,3.166422,3
31:02.5,115.5,3.171546,3
31:02.8,115.75,3.170265,3
31:03.0,116,3.166422,3
31:03.3,116.25,3.176671,3
31:03.5,116.5,3.179233,3
31:03.7,116.75,3.174109,3
31:04.0,117,3.17539,3
31:04.3,117.25,3.176671,3
31:04.5,117.5,3.171546,3
31:04.8,117.75,3.172827,3
31:05.0,118,3.17539,3
31:05.3,118.25,3.167703,3
31:05.5,118.5,3.176671,3
31:05.8,118.75,3.177952,3
31:06.0,119,3.17539,3
31:06.3,119.25,3.172827,3
31:06.5,119.5,3.177952,3
31:06.8,119.75,3.17539,3
31:07.0,120,3.17539,3
31:07.2,120.25,3.176671,3
31:07.5,120.5,3.184357,3
31:07.8,120.75,3.180514,3
31:08.0,121,3.181795,3
31:08.3,121.25,3.17539,3
31:08.5,121.5,3.177952,3
31:08.8,121.75,3.183076,3
31:09.0,122,3.179233,3
31:09.2,122.25,3.180514,3
31:09.5,122.5,3.179233,3
31:09.8,122.75,3.181795,3
31:10.0,123,3.179233,3
31:10.3,123.25,3.179233,3
31:10.5,123.5,3.184357,3
31:10.7,123.75,3.176671,3
31:11.0,124,3.183076,3
31:11.3,124.25,3.184357,3
31:11.5,124.5,3.18692,3
31:11.8,124.75,3.184357,3
31:12.0,125,3.181795,3
31:12.3,125.25,3.18692,3
31:12.5,125.5,3.184357,3
31:12.8,125.75,3.185638,3
31:13.0,126,3.177952,3
31:13.2,126.25,3.18692,3
31:13.5,126.5,3.18692,3
31:13.8,126.75,3.18692,3
31:14.0,127,3.184357,3
31:14.3,127.25,3.192044,3
31:14.5,127.5,3.188201,3
31:14.8,127.75,3.188201,3
31:15.0,128,3.188201,3
31:15.3,128.25,3.185638,3
31:15.5,128.5,3.190763,3
31:15.8,128.75,3.183076,3
31:16.0,129,3.18692,3
31:16.3,129.25,3.189482,3
31:16.5,129.5,3.192044,3
31:16.7,129.75,3.192044,3
31:17.0,130,3.198449,3
31:17.3,130.25,3.189482,3
31:17.5,130.5,3.189482,3
31:17.8,130.75,3.192044,3
31:18.0,131,3.192044,3
31:18.3,131.25,3.192044,3
31:18.5,131.5,3.183076,3
31:18.7,131.75,3.192044,3
31:19.0,132,3.18692,3
31:19.2,132.25,3.198449,3
31:19.5,132.5,3.190763,3
31:19.8,132.75,3.18692,3
31:20.0,133,3.195887,3
31:20.2,133.25,3.193325,3
31:20.5,133.5,3.193325,3
31:20.8,133.75,3.192044,3
31:21.0,134,3.195887,3
31:21.3,134.25,3.18692,3
31:21.5,134.5,3.192044,3
31:21.8,134.75,3.194606,3
31:22.0,135,3.195887,3
31:22.3,135.25,3.193325,3
31:22.5,135.5,3.195887,3
31:22.7,135.75,3.198449,3
31:23.0,136,3.192044,3
31:23.3,136.25,3.198449,3
31:23.5,136.5,3.194606,3
31:23.8,136.75,3.197168,3
31:24.0,137,3.197168,3
31:24.3,137.25,3.202293,3
31:24.5,137.5,3.193325,3
31:24.8,137.75,3.198449,3
31:25.0,138,3.197168,3
31:25.3,138.25,3.197168,3
31:25.5,138.5,3.197168,3
31:25.8,138.75,3.202293,3
31:26.0,139,3.198449,3
31:26.2,139.25,3.195887,3
31:26.5,139.5,3.197168,3
31:26.8,139.75,3.195887,3
31:27.0,140,3.197168,3
31:27.3,140.25,3.201012,3
31:27.5,140.5,3.213823,3
31:27.8,140.75,3.202293,3
31:28.0,141,3.211261,3
31:28.2,141.25,3.206136,3
31:28.5,141.5,3.207417,3
31:28.7,141.75,3.208698,3
31:29.0,142,3.203574,3
31:29.3,142.25,3.204855,3
31:29.5,142.5,3.204855,3
31:29.7,142.75,3.203574,3
31:30.0,143,3.204855,3
31:30.3,143.25,3.206136,3
31:30.5,143.5,3.207417,3
31:30.8,143.75,3.216385,3
