Time,Measurement,TouchTag,SubjectID
15:23:22,4.318464,2,A1
15:23:22.250000,4.331275,1,A1
15:23:22.500000,4.337681,2,A1
15:23:22.750000,4.353054,1,A1
15:23:23,4.3620220000000005,2,A1
15:23:23.250000,4.3697089999999985,1,A1
15:23:23.500000,4.363303,2,A1
15:23:23.750000,4.370989,1,A1
15:23:24,4.3620220000000005,2,A1
15:23:24.250000,4.355616,1,A1
15:23:24.500000,4.342805,2,A1
15:23:24.750000,4.329994,1,A1
15:23:25,4.319746,2,A1
15:23:25.250000,4.312059,1,A1
15:23:25.500000,4.308216000000002,2,A1
15:23:25.750000,4.306934,1,A1
15:23:26,4.304372,2,A1
15:23:26.250000,4.29028,0,A1
15:23:26.500000,4.295404,0,A1
15:23:26.750000,4.294124,0,A1
15:23:27,4.287718,0,A1
15:23:27.250000,4.2825940000000005,0,A1
15:23:27.500000,4.277469,0,A1
15:23:27.750000,4.272345,0,A1
15:23:28,4.264658,0,A1
15:23:28.250000,4.258253,0,A1
15:23:28.500000,4.256972,0,A1
15:23:28.750000,4.253129,0,A1
15:23:29,4.248004,0,A1
15:23:29.250000,4.241599,0,A1
15:23:29.500000,4.251847,0,A1
15:23:29.750000,4.246723,0,A1
15:23:30,4.251847,0,A1
15:23:30.250000,4.26722,0,A1
15:23:30.500000,4.264658,0,A1
15:23:30.750000,4.283875,0,A1
15:23:31,4.372271,0,A1
15:23:31.250000,4.601587,0,A1
15:23:31.500000,4.946203,0,A1
15:23:31.750000,5.333413,0,A1
15:23:32,5.578103,0,A1
15:23:32.250000,5.822367,0,A1
15:23:32.500000,5.847989,0,A1
15:23:32.750000,5.764717,0,A1
15:23:33,5.66351,0,A1
15:23:33.250000,5.5354,0,A1
15:23:33.500000,5.471345,0,A1
15:23:33.750000,5.6173910000000005,0,A1
15:23:34,5.8992330000000015,0,A1
15:23:34.250000,6.073462,0,A1
15:23:34.500000,6.122932,0,A1
15:23:34.750000,6.079375,0,A1
15:23:35,5.9871360000000005,0,A1
15:23:35.250000,5.86415,0,A1
15:23:35.500000,5.702732,0,A1
15:23:35.750000,5.546437,0,A1
15:23:36,5.487507,0,A1
15:23:36.250000,5.587432,0,A1
15:23:36.500000,5.7142620000000015,0,A1
15:23:36.750000,5.6156169999999985,0,A1
15:23:37,5.523377,0,A1
15:23:37.250000,5.317121,0,A1
15:23:37.500000,5.236904,0,A1
15:23:37.750000,5.136979,0,A1
15:23:38,5.021679,0,A1
15:23:38.250000,4.834639,0,A1
15:23:38.500000,4.769729,0,A1
15:23:38.750000,4.709517,0,A1
15:23:39,4.6621169999999985,0,A1
15:23:39.250000,4.6941440000000005,0,A1
15:23:39.500000,4.683895,0,A1
15:23:39.750000,4.66596,0,A1
15:23:40,4.669803,0,A1
15:23:40.250000,4.676208,0,A1
15:23:40.500000,4.669803,0,A1
15:23:40.750000,4.659554,0,A1
15:23:41,4.641619,0,A1
15:23:41.250000,4.632651,0,A1
15:23:41.500000,4.622402,0,A1
15:23:41.750000,4.587812,0,A1
15:23:42,4.581407,0,A1
15:23:42.250000,4.569877,0,A1
15:23:42.500000,4.530163,0,A1
15:23:42.750000,4.354652,0,A1
15:23:43,4.31334,0,A1
15:23:43.250000,4.288999,0,A1
15:23:43.500000,4.379957,0,A1
15:23:43.750000,4.446574,0,A1
15:23:44,4.4260769999999985,0,A1
15:23:44.250000,4.435044,0,A1
15:23:44.500000,4.414547,0,A1
15:23:44.750000,4.444012,0,A1
15:23:45,4.454261,0,A1
15:23:45.250000,4.469633999999999,0,A1
15:23:45.500000,4.463229,0,A1
15:23:45.750000,4.459385,0,A1
15:23:46,4.461947,0,A1
15:23:46.250000,4.459385,0,A1
15:23:46.500000,4.45298,0,A1
15:23:46.750000,4.446574,0,A1
15:23:47,4.440169,0,A1
15:23:47.250000,4.42992,0,A1
15:23:47.500000,4.433764,0,A1
15:23:47.750000,4.423514,0,A1
15:23:48,4.417109,0,A1
15:23:48.250000,4.414547,0,A1
15:23:48.500000,4.411984,0,A1
15:23:48.750000,4.413266,0,A1
15:23:49,4.400455,0,A1
15:23:49.250000,4.403017,0,A1
15:23:49.500000,4.392768,0,A1
15:23:49.750000,4.392768,0,A1
15:23:50,4.3863629999999985,0,A1
15:23:50.250000,4.387644,0,A1
15:23:50.500000,4.387644,0,A1
15:23:50.750000,4.388925,0,A1
15:23:51,4.39533,0,A1
15:23:51.250000,4.39533,0,A1
15:23:51.500000,4.387644,0,A1
15:23:51.750000,4.383801,0,A1
15:23:52,4.3863629999999985,0,A1
15:23:52.250000,4.3786760000000005,0,A1
15:23:52.500000,4.374833,0,A1
15:23:52.750000,4.3697089999999985,0,A1
15:23:53,4.364584,0,A1
15:23:53.250000,4.367146,0,A1
15:23:53.500000,4.359458999999998,0,A1
15:23:53.750000,4.359458999999998,0,A1
15:23:54,4.346649,0,A1
15:23:54.250000,4.342805,0,A1
15:23:54.500000,4.345367,0,A1
15:23:54.750000,4.341524,0,A1
15:23:55,4.338962,0,A1
15:23:55.250000,4.338962,0,A1
15:23:55.500000,4.338962,0,A1
15:23:55.750000,4.331275,0,A1
15:23:56,4.332557,0,A1
15:23:56.250000,4.32487,0,A1
15:23:56.500000,4.319746,0,A1
15:23:56.750000,4.318464,0,A1
15:23:57,4.319746,0,A1
15:23:57.250000,4.314621,0,A1
15:23:57.500000,4.315902,0,A1
15:23:57.750000,4.314621,0,A1
15:23:58,4.309497,0,A1
15:23:58.250000,4.309497,0,A1
15:23:58.500000,4.304372,0,A1
15:23:58.750000,4.306934,0,A1
15:23:59,4.296686,0,A1
15:23:59.250000,4.291561,0,A1
15:23:59.500000,4.288999,0,A1
15:23:59.750000,4.291561,0,A1
15:24:00,4.21982,0,A1
15:24:00.250000,4.256972,0,A1
15:24:00.500000,4.2556910000000014,0,A1
15:24:00.750000,4.248004,0,A1
15:24:01,4.256972,0,A1
15:24:01.250000,4.258253,0,A1
15:24:01.500000,4.262096,0,A1
15:24:01.750000,4.256972,0,A1
15:24:02,4.262096,0,A1
15:24:02.250000,4.259534,0,A1
15:24:02.500000,4.2556910000000014,0,A1
15:24:02.750000,4.249285,0,A1
15:24:03,4.242879,0,A1
15:24:03.250000,4.2390360000000005,0,A1
15:24:03.500000,4.2390360000000005,0,A1
15:24:03.750000,4.245442,0,A1
15:24:04,4.246723,0,A1
15:24:04.250000,4.248004,0,A1
15:24:04.500000,4.244161,0,A1
15:24:04.750000,4.2390360000000005,0,A1
15:24:05,4.244161,0,A1
15:24:05.250000,4.2390360000000005,0,A1
15:24:05.500000,4.248004,0,A1
15:24:05.750000,4.256972,0,A1
15:24:06,4.292842,0,A1
15:24:06.250000,4.326151,0,A1
15:24:06.500000,4.3620220000000005,0,A1
15:24:06.750000,4.381238,0,A1
15:24:07,4.390206,0,A1
15:24:07.250000,4.397892,0,A1
15:24:07.500000,4.387644,0,A1
