EDA_Time,Measurement,TouchTag,SubjectID,,SubjectID,Average EDA,Max EDA
15:21:39,0.426555,3,B1,,,,
21:39.2,0.429117,1,B1,,,,
21:39.5,0.427836,2,B1,,,,
21:39.8,0.427836,3,B1,,,,
15:21:40,0.430398,1,B1,,,,
21:40.3,0.430398,2,B1,,,,
21:40.5,0.429117,1,B1,,,,
21:40.8,0.429117,2,B1,,,,
15:21:41,0.427836,1,B1,,,,
21:41.2,0.430398,2,B1,,,,
21:41.5,0.425274,3,B1,,,,
21:41.8,0.426555,4,B1,,,,
15:21:42,0.425274,1,B1,,,,
21:42.3,0.423993,2,B1,,,,
21:42.5,0.427836,1,B1,,,,
21:42.7,0.431679,2,B1,,,,
15:21:43,0.440645,3,B1,,,,
21:43.3,0.443207,1,B1,,,,
21:43.5,0.440645,2,B1,,,,
21:43.8,0.441926,1,B1,,,,
15:21:44,0.441926,2,B1,,,,
21:44.3,0.441926,1,B1,,,,
21:44.5,0.440645,2,B1,,,,
21:44.8,0.439364,1,B1,,,,
15:21:45,0.440645,2,B1,,,,
21:45.2,0.439364,1,B1,,,,
21:45.5,0.439364,2,B1,,,,
21:45.8,0.438083,1,B1,,,,
15:21:46,0.439364,2,B1,,,,
21:46.2,0.453455,1,B1,,,,
21:46.5,0.436802,2,B1,,,,
21:46.8,0.438083,1,B1,,,,
15:21:47,0.435521,2,B1,,,,
21:47.3,0.438083,1,B1,,,,
21:47.5,0.440645,2,B1,,,,
21:47.8,0.436802,1,B1,,,,
15:21:48,0.43424,2,B1,,,,
21:48.2,0.436802,1,B1,,,,
21:48.5,0.438083,2,B1,,,,
21:48.7,0.439364,3,B1,,,,
15:21:49,0.435521,1,B1,,,,
21:49.3,0.435521,2,B1,,,,
21:49.5,0.430398,1,B1,,,,
21:49.8,0.431679,2,B1,,,,
15:21:50,0.432959,1,B1,,,,
21:50.3,0.431679,2,B1,,,,
21:50.5,0.43424,1,B1,,,,
21:50.7,0.431679,2,B1,,,,
15:21:51,0.43424,1,B1,,,,
21:51.3,0.43424,2,B1,,,,
21:51.5,0.431679,3,B1,,,,
21:51.8,0.43424,1,B1,,,,
15:21:52,0.432959,2,B1,,,,
21:52.2,0.435521,3,B1,,,,
21:52.5,0.43424,1,B1,,,,
21:52.8,0.43424,2,B1,,,,
15:21:53,0.436802,3,B1,,,,
21:53.3,0.435521,1,B1,,,,
21:53.5,0.43424,3,B1,,,,
21:53.8,0.435521,1,B1,,,,
15:21:54,0.43424,3,B1,,,,
21:54.3,0.438083,1,B1,,,,
21:54.5,0.438083,2,B1,,,,
